Provinsi,Negara/Wilayah,Terakhir Update,Dikonfirmasi,Kematian,Yang sudah Pulih
Odisha,India,28/02/2021 05.22,337104,1915,334519
Ohio,US,28/02/2021 05.22,966154,17237,0
Oita,Japan,28/02/2021 05.22,1291,21,1230
Okayama,Japan,28/02/2021 05.22,2479,32,2389
Okinawa,Japan,28/02/2021 05.22,8206,120,7774
Oklahoma,US,28/02/2021 05.22,423802,4379,0
Omsk Oblast,Russia,28/02/2021 05.22,40831,1213,37402
Ontario,Canada,28/02/2021 05.22,304962,6960,287897
Orebro,Sweden,28/02/2021 05.22,17895,289,0
Oregon,US,28/02/2021 05.22,155315,2208,0
Orel Oblast,Russia,28/02/2021 05.22,30186,436,27177
Orenburg Oblast,Russia,28/02/2021 05.22,37504,601,34551
Osaka,Japan,28/02/2021 05.22,47034,1115,44384
Ostergotland,Sweden,28/02/2021 05.22,22855,552,0
Overijssel,Netherlands,28/02/2021 05.22,75580,1034,0
P.A. Bolzano,Italy,28/02/2021 05.22,53578,1026,45768
P.A. Trento,Italy,28/02/2021 05.22,33729,1206,28868
Pais Vasco,Spain,28/02/2021 05.22,150674,3726,16160
Para,Brazil,28/02/2021 05.22,363916,8577,341990
Paraiba,Brazil,28/02/2021 05.22,219723,4471,157849
Parana,Brazil,28/02/2021 05.22,643344,11635,466716
Pasco,Peru,28/02/2021 05.22,9366,232,0
Pennsylvania,US,28/02/2021 05.22,931531,23895,0
Penza Oblast,Russia,28/02/2021 05.22,38139,439,34286
Perm Krai,Russia,28/02/2021 05.22,46647,1718,38912
Pernambuco,Brazil,28/02/2021 05.22,298859,10974,257881
Piaui,Brazil,28/02/2021 05.22,173290,3326,169672
Piemonte,Italy,28/02/2021 05.22,246232,9365,221224
Piura,Peru,28/02/2021 05.22,49767,2412,0
Poltava Oblast,Ukraine,28/02/2021 05.22,46067,975,42400
Port Quarantine,Japan,28/02/2021 05.22,2230,2,2178
Primorsky Krai,Russia,28/02/2021 05.22,40276,626,34847
Prince Edward Island,Canada,28/02/2021 05.22,120,0,114
Pskov Oblast,Russia,28/02/2021 05.22,31806,168,21065
Puducherry,India,28/02/2021 05.22,39717,668,38852
Puebla,Mexico,28/02/2021 05.22,70792,8790,0
Puerto Rico,US,28/02/2021 05.22,100044,2032,0
Puglia,Italy,28/02/2021 05.22,145997,3907,109633
Punjab,India,28/02/2021 05.22,181597,5825,171336
Punjab,Pakistan,28/02/2021 05.22,171349,5350,160997
Puno,Peru,28/02/2021 05.22,23767,604,0
Putumayo,Colombia,28/02/2021 05.22,7849,310,7292
Qinghai,Mainland China,28/02/2021 05.22,18,0,18
Quebec,Canada,28/02/2021 05.22,287003,10385,268645
Queensland,Australia,28/02/2021 05.22,1329,6,1311
Queretaro,Mexico,28/02/2021 05.22,56713,3393,0
Quindio,Colombia,28/02/2021 05.22,32019,951,30441
Quintana Roo,Mexico,28/02/2021 05.22,20189,2395,0
Rajasthan,India,28/02/2021 05.22,320180,2787,316139
Recovered,US,28/02/2021 05.22,0,0,0
Repatriated Travellers,Canada,28/02/2021 05.22,13,0,13
Reunion,France,28/02/2021 05.22,12416,52,11270
Rheinland-Pfalz,Germany,28/02/2021 05.22,102006,3092,94075
Rhode Island,US,28/02/2021 05.22,125622,2502,0
Rio Grande do Norte,Brazil,28/02/2021 05.22,165344,3578,123331
Rio Grande do Sul,Brazil,28/02/2021 05.22,638996,12343,595442
Rio de Janeiro,Brazil,28/02/2021 05.22,582164,33035,544854
Risaralda,Colombia,28/02/2021 05.22,46008,1141,44049
Rivne Oblast,Ukraine,28/02/2021 05.22,48779,619,46551
Rondonia,Brazil,28/02/2021 05.22,147999,2832,129870
Roraima,Brazil,28/02/2021 05.22,81776,1100,76102
Rostov Oblast,Russia,28/02/2021 05.22,72745,3113,63163
Ryazan Oblast,Russia,28/02/2021 05.22,24415,296,22433
Saarland,Germany,28/02/2021 05.22,28921,883,26747
Sachsen,Germany,28/02/2021 05.22,194177,7755,179350
Sachsen-Anhalt,Germany,28/02/2021 05.22,60630,2443,54381
Saga,Japan,28/02/2021 05.22,1065,9,1006
Saint Barthelemy,France,28/02/2021 05.22,573,1,462
"Saint Helena, Ascension and Tristan da Cunha",UK,28/02/2021 05.22,4,0,4
